mode,radius,target_source_snr,arm,method,sites,threshold,recoveries,mean_search_snr,median_search_snr,mean_center_snr,mean_localization_error_pixels,median_relative_contrast_error,relative_contrast_error_scatter,mean_positive_minus_baseline_throughput
125,7.5,7.0,refit,radial_hann_m0p1_trunc0p5,6,2.0346367359161377,6,7.170977512995402,6.845720529556274,7.033272345860799,0.3333333333333333,-0.006947949930677159,0.12458093796876522,0.9420258692468079
125,7.5,7.0,refit,radial_hann_m0p1_trunc0p75,6,2.1617302894592285,6,7.469647645950317,7.0725555419921875,7.28649107615153,0.5,-0.021306554551526812,0.11420988022799189,0.944057606352611
125,7.5,7.0,refit,radial_hann_m0p1_trunc1p0,6,2.228389024734497,6,7.3826102415720625,6.938574314117432,7.175731261571248,0.5,-0.033627954113167234,0.12057584722529105,0.9464028198273766
125,10.0,3.0,frozen,native,6,2.397827386856079,4,2.721651613712311,3.106858015060425,2.257643014192581,0.8333333333333334,0.06365677198292169,0.39760497863683564,1.0026378375940255
125,10.0,3.0,frozen,gaussian_fwhm2p4,6,3.4785091876983643,1,2.5939586063226066,2.809855341911316,2.4732690254847207,0.5,-0.06451000611685936,0.3279072759885579,1.0024515202194169
125,10.0,3.0,frozen,gaussian_fwhm3p0,6,4.0103020668029785,0,2.4424836536248526,2.489184260368347,2.343947430451711,0.5,-0.13073834314345872,0.32825127254673797,1.0029962722118222
125,10.0,3.0,frozen,gaussian_fwhm3p6,6,4.251492500305176,0,2.26434925198555,2.1530076265335083,2.1353686451911926,0.5,-0.232617917252685,0.336810906697581,1.0034493409322678
125,10.0,3.0,frozen,gaussian_fwhm4p2,6,4.119664669036865,0,2.040789008140564,1.8765935897827148,1.8901292035977046,0.6666666666666666,-0.27462944513042953,0.35594151260460033,1.004196962063249
125,10.0,3.0,frozen,exact_identity,6,2.137538433074951,4,2.6329565048217773,2.989532709121704,2.44362673163414,0.8333333333333334,-0.1673373455527994,0.2595158522197492,1.004532111584026
125,10.0,3.0,frozen,sparse_identity,6,2.284858465194702,4,2.487217366695404,2.830490231513977,2.2806790669759116,0.6666666666666666,-0.1657287972801087,0.2879992796506544,1.0041516326537911
125,10.0,3.0,frozen,exact_identity_lpf1p8,6,2.3447089195251465,4,2.5221191545327506,2.845458507537842,2.3288504779338837,0.8333333333333334,-0.1892711204517525,0.28721235780490645,1.0046962559536414
125,10.0,3.0,frozen,exact_identity_lpf2p7,6,2.6001386642456055,3,2.3689099053541818,2.643250346183777,2.1727156241734824,0.8333333333333334,-0.21288117862109426,0.3224768257239517,1.004871099310263
125,10.0,3.0,frozen,exact_isotropic_fitted_mean,6,2.1149964332580566,4,2.6213254829247794,2.964583992958069,2.427750418583552,0.5,-0.1804940735841505,0.25127080598477247,1.0045321144105621
125,10.0,3.0,frozen,raw_rectangular_m0p3,6,1.9738792181015015,4,2.7218196789423623,3.337646245956421,2.4790227810541787,0.8333333333333334,-0.10325125649082006,0.24586638261682428,1.0042625818458775
125,10.0,3.0,frozen,radial_hann_m0p1_full,6,1.981920838356018,4,2.78923769791921,3.408413529396057,2.5872166752815247,0.6666666666666666,-0.061740081605364025,0.24584759334044287,1.0044371600122612
125,10.0,3.0,frozen,radial_hann_m0p1_clip0p5,6,2.019529342651367,4,2.75331179300944,3.3811819553375244,2.5570590694745383,0.6666666666666666,-0.06687955079428468,0.2472797649086112,1.0044218412332602
125,10.0,3.0,frozen,radial_hann_m0p1_clip0p75,6,2.019401788711548,4,2.746024409929911,3.362712860107422,2.5483474930127463,0.8333333333333334,-0.06950390988845699,0.24740294167715318,1.0043734557310895
125,10.0,3.0,frozen,radial_hann_m0p1_clip1p0,6,2.010786771774292,4,2.7403860290845237,3.352512240409851,2.548755705356598,1.0,-0.0685496121401448,0.2498408011615475,1.004320518722638
125,10.0,3.0,frozen,radial_hann_m0p1_trunc0p5,6,1.989890694618225,4,2.7194184064865112,3.281318426132202,2.505345086256663,0.8333333333333334,-0.07730820182879615,0.2508852360831191,1.004342850940723
125,10.0,3.0,frozen,radial_hann_m0p1_trunc0p75,6,2.0611207485198975,4,2.7260500391324363,3.330132007598877,2.500184257825216,1.0,-0.08439850694748509,0.2509508310485774,1.0041973040126904
125,10.0,3.0,frozen,radial_hann_m0p1_trunc1p0,6,2.1626548767089844,4,2.7825350562731423,3.298932671546936,2.62062797943751,0.6666666666666666,-0.06109786820053999,0.266216639634105,1.004034710022522
125,10.0,3.0,refit,raw_rectangular_m0p3,6,1.9738792181015015,4,2.721824526786804,3.334250569343567,2.4753753542900085,0.8333333333333334,-0.10659838708814562,0.24738550353101954,1.002955232666557
125,10.0,3.0,refit,radial_hann_m0p1_full,6,1.981920838356018,4,2.7965612014134726,3.4062204360961914,2.595841189225515,0.6666666666666666,-0.06150241405795266,0.2493149483216419,1.0069748802978804
125,10.0,3.0,refit,radial_hann_m0p1_clip0p5,6,2.019529342651367,4,2.7576502362887063,3.396436929702759,2.563784917195638,0.6666666666666666,-0.06369742145304015,0.24976226755705283,1.0063943332131264
125,10.0,3.0,refit,radial_hann_m0p1_clip0p75,6,2.019401788711548,4,2.746705631415049,3.3740042448043823,2.5535151759783425,0.6666666666666666,-0.06680842724700697,0.24944948961670407,1.005864087801024
125,10.0,3.0,refit,radial_hann_m0p1_clip1p0,6,2.010786771774292,4,2.7383246620496116,3.3639578819274902,2.55339245001475,0.8333333333333334,-0.06932590075999447,0.2516621977120484,1.0056423290983012
125,10.0,3.0,refit,radial_hann_m0p1_trunc0p5,6,1.989890694618225,4,2.7157766421635947,3.2858210802078247,2.508255044619242,0.8333333333333334,-0.07500629885205784,0.252440096411238,1.005138968995504
125,10.0,3.0,refit,radial_hann_m0p1_trunc0p75,6,2.0611207485198975,4,2.705876052379608,3.3233269453048706,2.505679726600647,1.0,-0.08243176605754896,0.2528491307130804,1.0058180604759805
